category	species	trait	study	gene	human_ortholog	human_symbol
size	human	bmi	pividori	ENSG00000138375	ENSG00000138375	SMARCAL1
size	human	bmi	pividori	ENSG00000109667	ENSG00000109667	SLC2A9
size	human	bmi	pividori	ENSG00000204267	ENSG00000204267	TAP2
size	human	bmi	pividori	ENSG00000185482	ENSG00000185482	STAC3
size	human	bmi	pividori	ENSG00000274979	ENSG00000274979	NA
size	human	bmi	pividori	ENSG00000151164	ENSG00000151164	RAD9B
size	human	bmi	pividori	ENSG00000255568	ENSG00000255568	NA
size	human	bmi	pividori	ENSG00000109689	ENSG00000109689	STIM2
size	human	bmi	pividori	ENSG00000147454	ENSG00000147454	SLC25A37
size	human	bmi	pividori	ENSG00000177697	ENSG00000177697	CD151
size	human	bmi	pividori	ENSG00000254842	ENSG00000254842	NA
size	human	bmi	pividori	ENSG00000225554	ENSG00000225554	NA
size	human	bmi	pividori	ENSG00000182901	ENSG00000182901	RGS7
size	human	bmi	pividori	ENSG00000233448	ENSG00000233448	NA
size	human	bmi	pividori	ENSG00000147408	ENSG00000147408	CSGALNACT1
size	human	bmi	pividori	ENSG00000182674	ENSG00000182674	KCNB2
size	human	bmi	pividori	ENSG00000214063	ENSG00000214063	TSPAN4
size	human	bmi	pividori	ENSG00000215271	ENSG00000215271	NA
size	human	bmi	pividori	ENSG00000262185	ENSG00000262185	LINC02861
size	human	bmi	pividori	ENSG00000197530	ENSG00000197530	MIB2
size	human	bmi	pividori	ENSG00000262888	ENSG00000262888	NA
size	human	bmi	pividori	ENSG00000180834	ENSG00000180834	MAP6D1
size	human	bmi	pividori	ENSG00000118520	ENSG00000118520	ARG1
size	human	bmi	pividori	ENSG00000185386	ENSG00000185386	MAPK11
size	human	bmi	pividori	ENSG00000132170	ENSG00000132170	PPARG
size	human	bmi	pividori	ENSG00000106367	ENSG00000106367	AP1S1
size	human	bmi	pividori	ENSG00000153815	ENSG00000153815	CMIP
size	human	bmi	pividori	ENSG00000205710	ENSG00000205710	C17orf107
size	human	bmi	pividori	ENSG00000182771	ENSG00000182771	GRID1
size	human	bmi	pividori	ENSG00000104885	ENSG00000104885	DOT1L
size	human	bmi	pividori	ENSG00000169760	ENSG00000169760	NLGN1
size	human	bmi	pividori	ENSG00000099377	ENSG00000099377	HSD3B7
size	human	bmi	barbeira	ENSG00000204463	ENSG00000204463	BAG6
size	human	bmi	barbeira	ENSG00000118971	ENSG00000118971	CCND2
size	human	bmi	barbeira	ENSG00000204472	ENSG00000204472	AIF1
size	human	bmi	barbeira	ENSG00000168995	ENSG00000168995	SIGLEC7
size	human	bmi	barbeira	ENSG00000129450	ENSG00000129450	SIGLEC9
size	human	bmi	barbeira	ENSG00000189339	ENSG00000189339	SLC35E2B
size	human	bmi	barbeira	ENSG00000271009	ENSG00000271009	NA
size	human	bmi	barbeira	ENSG00000103197	ENSG00000103197	TSC2
size	human	bmi	barbeira	ENSG00000065057	ENSG00000065057	NTHL1
size	human	bmi	barbeira	ENSG00000172638	ENSG00000172638	EFEMP2
size	human	bmi	barbeira	ENSG00000117523	ENSG00000117523	PRRC2C
size	human	bmi	barbeira	ENSG00000068745	ENSG00000068745	IP6K2
size	human	bmi	barbeira	ENSG00000206561	ENSG00000206561	COLQ
size	human	bmi	barbeira	ENSG00000177697	ENSG00000177697	CD151
size	human	bmi	barbeira	ENSG00000182674	ENSG00000182674	KCNB2
size	human	bmi	barbeira	ENSG00000187758	ENSG00000187758	ADH1A
size	human	bmi	barbeira	ENSG00000167110	ENSG00000167110	GOLGA2
size	human	bmi	barbeira	ENSG00000151640	ENSG00000151640	DPYSL4
size	human	bmi	barbeira	ENSG00000162613	ENSG00000162613	FUBP1
size	human	bmi	barbeira	ENSG00000140455	ENSG00000140455	USP3
size	human	bmi	barbeira	ENSG00000078804	ENSG00000078804	TP53INP2
size	human	bmi	barbeira	ENSG00000077782	ENSG00000077782	FGFR1
size	human	bmi	barbeira	ENSG00000119522	ENSG00000119522	DENND1A
size	human	bmi	barbeira	ENSG00000133612	ENSG00000133612	AGAP3
size	human	bmi	barbeira	ENSG00000188130	ENSG00000188130	MAPK12
size	human	bmi	barbeira	ENSG00000153814	ENSG00000153814	JAZF1
size	human	bmi	barbeira	ENSG00000136485	ENSG00000136485	DCAF7
size	human	bmi	barbeira	ENSG00000122515	ENSG00000122515	ZMIZ2
size	human	bmi	barbeira	ENSG00000111231	ENSG00000111231	GPN3
size	human	bmi	barbeira	ENSG00000182379	ENSG00000182379	NXPH4
size	human	bmi	barbeira	ENSG00000087152	ENSG00000087152	ATXN7L3
size	human	bmi	barbeira	ENSG00000197586	ENSG00000197586	ENTPD6
size	human	bmi	barbeira	ENSG00000136490	ENSG00000136490	LIMD2
size	human	bmi	barbeira	ENSG00000172247	ENSG00000172247	C1QTNF4
size	human	bmi	barbeira	ENSG00000085721	ENSG00000085721	RRN3
size	human	bmi	barbeira	ENSG00000260977	ENSG00000260977	NA
size	human	bmi	barbeira	ENSG00000131323	ENSG00000131323	TRAF3
size	human	bmi	barbeira	ENSG00000168228	ENSG00000168228	ZCCHC4
size	human	bmi	barbeira	ENSG00000204682	ENSG00000204682	MIR1915HG
size	human	bmi	barbeira	ENSG00000114450	ENSG00000114450	GNB4
size	human	bmi	barbeira	ENSG00000104899	ENSG00000104899	AMH
size	human	bmi	barbeira	ENSG00000131409	ENSG00000131409	LRRC4B
size	human	bmi	barbeira	ENSG00000148737	ENSG00000148737	TCF7L2
size	human	bmi	barbeira	ENSG00000172432	ENSG00000172432	GTPBP2
size	human	bmi	barbeira	ENSG00000112041	ENSG00000112041	TULP1
size	human	bmi	barbeira	ENSG00000254726	ENSG00000254726	MEX3A
size	human	bmi	barbeira	ENSG00000136944	ENSG00000136944	LMX1B
size	human	bmi	barbeira	ENSG00000250377	ENSG00000250377	NA
size	human	bmi	barbeira	ENSG00000213760	ENSG00000213760	ATP6V1G2
size	human	bmi	barbeira	ENSG00000213023	ENSG00000213023	SYT3
size	human	bmi	barbeira	ENSG00000177888	ENSG00000177888	ZBTB41
size	human	bmi	barbeira	ENSG00000168394	ENSG00000168394	TAP1
size	human	bmi	barbeira	ENSG00000134198	ENSG00000134198	TSPAN2
size	human	bmi	barbeira	ENSG00000271983	ENSG00000271983	NA
size	human	bmi	barbeira	ENSG00000213619	ENSG00000213619	NDUFS3
size	human	bmi	barbeira	ENSG00000160789	ENSG00000160789	LMNA
size	human	bmi	barbeira	ENSG00000025434	ENSG00000025434	NR1H3
size	human	bmi	barbeira	ENSG00000177700	ENSG00000177700	POLR2L
size	human	bmi	barbeira	ENSG00000164853	ENSG00000164853	UNCX
size	human	bmi	barbeira	ENSG00000185615	ENSG00000185615	PDIA2
size	human	bmi	barbeira	ENSG00000159461	ENSG00000159461	AMFR
size	human	bmi	barbeira	ENSG00000278535	ENSG00000278535	DHRS11
size	human	bmi	barbeira	ENSG00000131504	ENSG00000131504	DIAPH1
size	human	bmi	barbeira	ENSG00000132535	ENSG00000132535	DLG4
size	human	bmi	barbeira	ENSG00000185386	ENSG00000185386	MAPK11
size	human	bmi	barbeira	ENSG00000055118	ENSG00000055118	KCNH2
size	human	bmi	barbeira	ENSG00000164989	ENSG00000164989	CCDC171
size	human	bmi	barbeira	ENSG00000167964	ENSG00000167964	RAB26
size	human	bmi	barbeira	ENSG00000242173	ENSG00000242173	ARHGDIG
size	human	bmi	barbeira	ENSG00000164946	ENSG00000164946	FREM1
size	human	bmi	barbeira	ENSG00000239381	ENSG00000239381	NA
size	human	bmi	barbeira	ENSG00000182636	ENSG00000182636	NDN
size	human	bmi	barbeira	ENSG00000111445	ENSG00000111445	RFC5
size	human	bmi	barbeira	ENSG00000160695	ENSG00000160695	VPS11
size	human	bmi	barbeira	ENSG00000165806	ENSG00000165806	CASP7
size	human	bmi	barbeira	ENSG00000115561	ENSG00000115561	CHMP3
size	human	bmi	barbeira	ENSG00000148842	ENSG00000148842	CNNM2
size	human	bmi	barbeira	ENSG00000103126	ENSG00000103126	AXIN1
size	human	bmi	barbeira	ENSG00000205189	ENSG00000205189	ZBTB10
size	human	bmi	barbeira	ENSG00000120071	ENSG00000120071	KANSL1
size	human	bmi	barbeira	ENSG00000065361	ENSG00000065361	ERBB3
size	human	bmi	barbeira	ENSG00000130203	ENSG00000130203	APOE
size	human	bmi	barbeira	ENSG00000185829	ENSG00000185829	ARL17A
size	human	bmi	barbeira	ENSG00000260019	ENSG00000260019	LINC01992
size	human	bmi	barbeira	ENSG00000182771	ENSG00000182771	GRID1
size	human	bmi	barbeira	ENSG00000164620	ENSG00000164620	RELL2
size	human	bmi	barbeira	ENSG00000144229	ENSG00000144229	THSD7B
size	human	bmi	barbeira	ENSG00000124160	ENSG00000124160	NCOA5
size	human	bmi	barbeira	ENSG00000197852	ENSG00000197852	INKA2
size	human	bmi	barbeira	ENSG00000238083	ENSG00000238083	LRRC37A2
size	human	bmi	barbeira	ENSG00000244405	ENSG00000244405	ETV5
size	human	bmi	barbeira	ENSG00000152359	ENSG00000152359	POC5
size	human	bmi	barbeira	ENSG00000008300	ENSG00000008300	CELSR3
size	human	bmi	barbeira	ENSG00000176681	ENSG00000176681	LRRC37A
size	human	bmi	barbeira	ENSG00000158863	ENSG00000158863	FHIP2B
size	human	bmi	barbeira	ENSG00000171435	ENSG00000171435	KSR2
size	human	bmi	barbeira	ENSG00000117569	ENSG00000117569	PTBP2
size	human	bmi	barbeira	ENSG00000272121	ENSG00000272121	NA
size	human	bmi	barbeira	ENSG00000172543	ENSG00000172543	CTSW
size	human	bmi	barbeira	ENSG00000174953	ENSG00000174953	DHX36
size	human	bmi	barbeira	ENSG00000205710	ENSG00000205710	C17orf107
size	human	bmi	barbeira	ENSG00000269954	ENSG00000269954	NA
size	human	bmi	barbeira	ENSG00000147454	ENSG00000147454	SLC25A37
size	human	bmi	barbeira	ENSG00000109944	ENSG00000109944	JHY
size	human	bmi	barbeira	ENSG00000174996	ENSG00000174996	KLC2
size	human	bmi	barbeira	ENSG00000149932	ENSG00000149932	TMEM219
size	human	bmi	barbeira	ENSG00000084636	ENSG00000084636	COL16A1
size	human	bmi	barbeira	ENSG00000221852	ENSG00000221852	KRTAP1-5
size	human	bmi	barbeira	ENSG00000165914	ENSG00000165914	TTC7B
size	human	bmi	barbeira	ENSG00000170092	ENSG00000170092	SPDYE5
size	human	bmi	barbeira	ENSG00000212724	ENSG00000212724	KRTAP2-3
size	human	bmi	barbeira	ENSG00000144741	ENSG00000144741	SLC25A26
size	human	bmi	barbeira	ENSG00000163581	ENSG00000163581	SLC2A2
size	human	bmi	barbeira	ENSG00000136573	ENSG00000136573	BLK
size	human	bmi	barbeira	ENSG00000163577	ENSG00000163577	EIF5A2
size	human	bmi	barbeira	ENSG00000275074	ENSG00000275074	NUDT18
size	human	bmi	barbeira	ENSG00000189045	ENSG00000189045	ANKDD1B
size	human	bmi	barbeira	ENSG00000271751	ENSG00000271751	NA
size	human	bmi	barbeira	ENSG00000088986	ENSG00000088986	DYNLL1
size	human	bmi	barbeira	ENSG00000204435	ENSG00000204435	CSNK2B
size	human	bmi	barbeira	ENSG00000131668	ENSG00000131668	BARX1
size	human	bmi	barbeira	ENSG00000248333	ENSG00000248333	CDK11B
size	human	bmi	barbeira	ENSG00000102967	ENSG00000102967	DHODH
size	human	bmi	barbeira	ENSG00000145194	ENSG00000145194	ECE2
size	human	bmi	barbeira	ENSG00000138039	ENSG00000138039	LHCGR
size	human	bmi	barbeira	ENSG00000174446	ENSG00000174446	SNAPC5
size	human	bmi	barbeira	ENSG00000138375	ENSG00000138375	SMARCAL1
size	human	bmi	barbeira	ENSG00000185482	ENSG00000185482	STAC3
size	human	bmi	barbeira	ENSG00000151164	ENSG00000151164	RAD9B
size	human	bmi	barbeira	ENSG00000140836	ENSG00000140836	ZFHX3
size	human	bmi	barbeira	ENSG00000234745	ENSG00000234745	HLA-B
size	human	bmi	barbeira	ENSG00000157045	ENSG00000157045	NTAN1
size	human	bmi	barbeira	ENSG00000267198	ENSG00000267198	NA
size	human	bmi	barbeira	ENSG00000204856	ENSG00000204856	FAM216A
size	human	bmi	barbeira	ENSG00000111237	ENSG00000111237	VPS29
size	human	bmi	barbeira	ENSG00000111229	ENSG00000111229	ARPC3
size	human	bmi	barbeira	ENSG00000167515	ENSG00000167515	TRAPPC2L
size	human	bmi	barbeira	ENSG00000204469	ENSG00000204469	PRRC2A
size	human	bmi	barbeira	ENSG00000277481	ENSG00000277481	PKD1L3
size	human	bmi	barbeira	ENSG00000196510	ENSG00000196510	ANAPC7
size	human	bmi	barbeira	ENSG00000182199	ENSG00000182199	SHMT2
size	human	bmi	barbeira	ENSG00000281831	ENSG00000281831	HCP5B
size	human	bmi	barbeira	ENSG00000254842	ENSG00000254842	NA
size	human	bmi	barbeira	ENSG00000015475	ENSG00000015475	BID
size	human	bmi	barbeira	ENSG00000196576	ENSG00000196576	PLXNB2
size	human	bmi	barbeira	ENSG00000214063	ENSG00000214063	TSPAN4
size	human	bmi	barbeira	ENSG00000008196	ENSG00000008196	TFAP2B
size	human	bmi	barbeira	ENSG00000100139	ENSG00000100139	MICALL1
size	human	bmi	barbeira	ENSG00000136379	ENSG00000136379	ABHD17C
size	human	bmi	barbeira	ENSG00000174442	ENSG00000174442	ZWILCH
size	human	bmi	barbeira	ENSG00000196220	ENSG00000196220	SRGAP3
size	human	bmi	barbeira	ENSG00000180834	ENSG00000180834	MAP6D1
size	human	bmi	barbeira	ENSG00000130204	ENSG00000130204	TOMM40
size	human	bmi	barbeira	ENSG00000153815	ENSG00000153815	CMIP
size	human	bmi	barbeira	ENSG00000106367	ENSG00000106367	AP1S1
size	human	bmi	barbeira	ENSG00000178568	ENSG00000178568	ERBB4
size	human	bmi	barbeira	ENSG00000164078	ENSG00000164078	MST1R
size	human	bmi	barbeira	ENSG00000213639	ENSG00000213639	PPP1CB
size	human	bmi	barbeira	ENSG00000140464	ENSG00000140464	PML
size	human	bmi	barbeira	ENSG00000106976	ENSG00000106976	DNM1
size	human	bmi	barbeira	ENSG00000141452	ENSG00000141452	RMC1
size	human	bmi	barbeira	ENSG00000105173	ENSG00000105173	CCNE1
size	human	bmi	barbeira	ENSG00000111011	ENSG00000111011	RSRC2
size	human	bmi	barbeira	ENSG00000271259	ENSG00000271259	NA
size	human	bmi	barbeira	ENSG00000172995	ENSG00000172995	ARPP21
size	human	bmi	barbeira	ENSG00000204261	ENSG00000204261	PSMB8-AS1
size	human	bmi	barbeira	ENSG00000169871	ENSG00000169871	TRIM56
size	human	bmi	barbeira	ENSG00000198894	ENSG00000198894	CIPC
size	human	bmi	barbeira	ENSG00000162616	ENSG00000162616	DNAJB4
size	human	bmi	barbeira	ENSG00000197381	ENSG00000197381	ADARB1
size	human	bmi	barbeira	ENSG00000215912	ENSG00000215912	TTC34
size	human	bmi	barbeira	ENSG00000079313	ENSG00000079313	REXO1
size	human	bmi	barbeira	ENSG00000175166	ENSG00000175166	PSMD2
size	human	bmi	barbeira	ENSG00000156097	ENSG00000156097	GPR61
size	human	bmi	barbeira	ENSG00000104885	ENSG00000104885	DOT1L
size	human	bmi	barbeira	ENSG00000245526	ENSG00000245526	MIR9-2HG
size	human	bmi	barbeira	ENSG00000238142	ENSG00000238142	NA
size	human	bmi	barbeira	ENSG00000164076	ENSG00000164076	CAMKV
size	human	bmi	barbeira	ENSG00000101004	ENSG00000101004	NINL
size	human	bmi	barbeira	ENSG00000141012	ENSG00000141012	GALNS
size	human	bmi	barbeira	ENSG00000102908	ENSG00000102908	NFAT5
size	human	bmi	barbeira	ENSG00000115221	ENSG00000115221	ITGB6
size	human	bmi	barbeira	ENSG00000178951	ENSG00000178951	ZBTB7A
size	human	weight	pividori	ENSG00000189339	ENSG00000189339	SLC35E2B
size	human	weight	pividori	ENSG00000162613	ENSG00000162613	FUBP1
size	human	weight	pividori	ENSG00000135835	ENSG00000135835	KIAA1614
size	human	weight	pividori	ENSG00000152254	ENSG00000152254	G6PC2
size	human	weight	pividori	ENSG00000122515	ENSG00000122515	ZMIZ2
size	human	weight	pividori	ENSG00000214063	ENSG00000214063	TSPAN4
size	human	weight	pividori	ENSG00000246250	ENSG00000246250	NA
size	human	weight	pividori	ENSG00000283375	ENSG00000283375	NA
size	human	weight	pividori	ENSG00000149084	ENSG00000149084	HSD17B12
size	human	weight	pividori	ENSG00000010219	ENSG00000010219	DYRK4
size	human	weight	pividori	ENSG00000100697	ENSG00000100697	DICER1
size	human	weight	pividori	ENSG00000182636	ENSG00000182636	NDN
size	human	weight	pividori	ENSG00000228696	ENSG00000228696	ARL17B
size	human	weight	pividori	ENSG00000267198	ENSG00000267198	NA
size	human	weight	pividori	ENSG00000266918	ENSG00000266918	NA
size	human	weight	pividori	ENSG00000185829	ENSG00000185829	ARL17A
size	human	weight	pividori	ENSG00000120071	ENSG00000120071	KANSL1
size	human	weight	pividori	ENSG00000214401	ENSG00000214401	KANSL1-AS1
size	human	weight	pividori	ENSG00000238083	ENSG00000238083	LRRC37A2
size	human	weight	pividori	ENSG00000104960	ENSG00000104960	PTOV1
size	human	weight	pividori	ENSG00000168995	ENSG00000168995	SIGLEC7
size	human	weight	pividori	ENSG00000129450	ENSG00000129450	SIGLEC9
size	human	weight	pividori	ENSG00000213626	ENSG00000213626	LBH
size	human	weight	pividori	ENSG00000178950	ENSG00000178950	GAK
size	human	weight	pividori	ENSG00000112319	ENSG00000112319	EYA4
size	human	weight	pividori	ENSG00000106367	ENSG00000106367	AP1S1
size	human	weight	pividori	ENSG00000085721	ENSG00000085721	RRN3
size	human	weight	pividori	ENSG00000185669	ENSG00000185669	SNAI3
size	human	weight	pividori	ENSG00000176681	ENSG00000176681	LRRC37A
size	human	weight	pividori	ENSG00000230676	ENSG00000230676	NA
size	human	weight	pividori	ENSG00000258717	ENSG00000258717	NA
size	human	weight	pividori	ENSG00000037042	ENSG00000037042	TUBG2
size	human	weight	pividori	ENSG00000104863	ENSG00000104863	LIN7B
size	human	weight	pividori	ENSG00000227775	ENSG00000227775	NA
size	human	weight	pividori	ENSG00000170092	ENSG00000170092	SPDYE5
size	human	weight	pividori	ENSG00000147454	ENSG00000147454	SLC25A37
size	human	weight	pividori	ENSG00000196363	ENSG00000196363	WDR5
size	human	weight	pividori	ENSG00000204682	ENSG00000204682	MIR1915HG
size	human	weight	pividori	ENSG00000225302	ENSG00000225302	NA
size	human	weight	pividori	ENSG00000173120	ENSG00000173120	KDM2A
size	human	weight	pividori	ENSG00000259430	ENSG00000259430	NA
size	human	weight	pividori	ENSG00000128266	ENSG00000128266	GNAZ
size	human	weight	pividori	ENSG00000183520	ENSG00000183520	UTP11
size	human	weight	pividori	ENSG00000231160	ENSG00000231160	NA
size	human	weight	pividori	ENSG00000117280	ENSG00000117280	RAB29
size	human	weight	pividori	ENSG00000182674	ENSG00000182674	KCNB2
size	human	weight	pividori	ENSG00000092203	ENSG00000092203	TOX4
size	human	weight	pividori	ENSG00000215271	ENSG00000215271	NA
size	human	weight	pividori	ENSG00000100138	ENSG00000100138	SNU13
size	human	weight	pividori	ENSG00000167674	ENSG00000167674	HDGFL2
size	human	weight	pividori	ENSG00000188130	ENSG00000188130	MAPK12
size	human	weight	pividori	ENSG00000158717	ENSG00000158717	RNF166
size	human	weight	pividori	ENSG00000165819	ENSG00000165819	METTL3
size	human	weight	pividori	ENSG00000260735	ENSG00000260735	NA
size	human	weight	pividori	ENSG00000141013	ENSG00000141013	GAS8
size	human	weight	pividori	ENSG00000225554	ENSG00000225554	NA
size	human	weight	pividori	ENSG00000160685	ENSG00000160685	ZBTB7B
size	human	weight	pividori	ENSG00000179912	ENSG00000179912	R3HDM2
size	human	weight	pividori	ENSG00000235169	ENSG00000235169	SMIM1
size	human	weight	pividori	ENSG00000183386	ENSG00000183386	FHL3
size	human	weight	pividori	ENSG00000198756	ENSG00000198756	COLGALT2
size	human	weight	pividori	ENSG00000150938	ENSG00000150938	CRIM1
size	human	weight	pividori	ENSG00000145194	ENSG00000145194	ECE2
size	human	weight	pividori	ENSG00000233448	ENSG00000233448	NA
size	human	weight	pividori	ENSG00000107185	ENSG00000107185	RGP1
size	human	weight	pividori	ENSG00000148396	ENSG00000148396	SEC16A
size	human	weight	pividori	ENSG00000150867	ENSG00000150867	PIP4K2A
size	human	weight	pividori	ENSG00000165915	ENSG00000165915	SLC39A13
size	human	weight	pividori	ENSG00000273611	ENSG00000273611	ZNHIT3
size	human	weight	pividori	ENSG00000213742	ENSG00000213742	ZNF337-AS1
size	human	weight	pividori	ENSG00000198911	ENSG00000198911	SREBF2
size	human	weight	pividori	ENSG00000146535	ENSG00000146535	GNA12
size	human	weight	pividori	ENSG00000223705	ENSG00000223705	NSUN5P1
size	human	weight	pividori	ENSG00000228915	ENSG00000228915	NA
size	human	weight	pividori	ENSG00000177380	ENSG00000177380	PPFIA3
size	human	weight	pividori	ENSG00000093010	ENSG00000093010	COMT
size	human	weight	pividori	ENSG00000174446	ENSG00000174446	SNAPC5
size	human	weight	pividori	ENSG00000248333	ENSG00000248333	CDK11B
size	human	weight	pividori	ENSG00000168899	ENSG00000168899	VAMP5
size	human	weight	pividori	ENSG00000138375	ENSG00000138375	SMARCAL1
size	human	weight	pividori	ENSG00000185482	ENSG00000185482	STAC3
size	human	weight	pividori	ENSG00000271009	ENSG00000271009	NA
size	human	weight	pividori	ENSG00000157045	ENSG00000157045	NTAN1
size	human	weight	pividori	ENSG00000130529	ENSG00000130529	TRPM4
size	human	weight	pividori	ENSG00000165424	ENSG00000165424	ZCCHC24
size	human	weight	pividori	ENSG00000185559	ENSG00000185559	DLK1
size	human	weight	pividori	ENSG00000272078	ENSG00000272078	NA
size	human	weight	pividori	ENSG00000070610	ENSG00000070610	GBA2
size	human	weight	pividori	ENSG00000221916	ENSG00000221916	C19orf73
size	human	weight	pividori	ENSG00000196715	ENSG00000196715	VKORC1L1
size	human	weight	pividori	ENSG00000177697	ENSG00000177697	CD151
size	human	weight	pividori	ENSG00000254842	ENSG00000254842	NA
size	human	weight	pividori	ENSG00000116288	ENSG00000116288	PARK7
size	human	weight	pividori	ENSG00000226252	ENSG00000226252	NA
size	human	weight	pividori	ENSG00000182901	ENSG00000182901	RGS7
size	human	weight	pividori	ENSG00000115486	ENSG00000115486	GGCX
size	human	weight	pividori	ENSG00000147408	ENSG00000147408	CSGALNACT1
size	human	weight	pividori	ENSG00000136160	ENSG00000136160	EDNRB
size	human	weight	pividori	ENSG00000262185	ENSG00000262185	LINC02861
size	human	weight	pividori	ENSG00000167377	ENSG00000167377	ZNF23
size	human	weight	pividori	ENSG00000108468	ENSG00000108468	CBX1
size	human	weight	pividori	ENSG00000141458	ENSG00000141458	NPC1
size	human	weight	pividori	ENSG00000101079	ENSG00000101079	NDRG3
size	human	weight	pividori	ENSG00000197530	ENSG00000197530	MIB2
size	human	weight	pividori	ENSG00000173706	ENSG00000173706	HEG1
size	human	weight	pividori	ENSG00000262888	ENSG00000262888	NA
size	human	weight	pividori	ENSG00000174442	ENSG00000174442	ZWILCH
size	human	weight	pividori	ENSG00000131484	ENSG00000131484	NA
size	human	weight	pividori	ENSG00000074211	ENSG00000074211	PPP2R2C
size	human	weight	pividori	ENSG00000118520	ENSG00000118520	ARG1
size	human	weight	pividori	ENSG00000241350	ENSG00000241350	NA
size	human	weight	pividori	ENSG00000170515	ENSG00000170515	PA2G4
size	human	weight	pividori	ENSG00000185386	ENSG00000185386	MAPK11
size	human	weight	pividori	ENSG00000178568	ENSG00000178568	ERBB4
size	human	weight	pividori	ENSG00000233081	ENSG00000233081	NA
size	human	weight	pividori	ENSG00000149292	ENSG00000149292	TTC12
size	human	weight	pividori	ENSG00000267986	ENSG00000267986	NA
size	human	weight	pividori	ENSG00000165030	ENSG00000165030	NFIL3
size	human	weight	pividori	ENSG00000182771	ENSG00000182771	GRID1
size	human	weight	pividori	ENSG00000189403	ENSG00000189403	HMGB1
size	human	weight	pividori	ENSG00000163946	ENSG00000163946	TASOR
size	human	weight	pividori	ENSG00000169760	ENSG00000169760	NLGN1
size	human	weight	pividori	ENSG00000101104	ENSG00000101104	PABPC1L
size	pig	average_daily_gain	teng	ENSSSCG00000032787	ENSG00000148218	ALAD
size	pig	average_daily_gain	teng	ENSSSCG00000023320	ENSG00000021461	CYP3A43
size	pig	average_daily_gain	teng	ENSSSCG00000000839	ENSG00000136010	ALDH1L2
size	pig	average_daily_gain	teng	ENSSSCG00000015924	ENSG00000152253	SPC25
size	pig	average_daily_gain	teng	ENSSSCG00000005689	ENSG00000187239	FNBP1
size	pig	average_daily_gain	teng	ENSSSCG00000005699	ENSG00000148357	HMCN2
size	pig	average_daily_gain	teng	ENSSSCG00000005683	ENSG00000136816	TOR1B
size	pig	average_daily_gain	teng	ENSSSCG00000031465	ENSG00000283526	PRRT1B
size	pig	average_daily_gain	teng	ENSSSCG00000000419	ENSG00000139547	RDH16
size	pig	average_daily_gain	teng	ENSSSCG00000037619	ENSG00000123427	EEF1AKMT3
size	pig	average_daily_gain	teng	ENSSSCG00000000645	ENSG00000139112	GABARAPL1
size	pig	average_daily_gain	teng	ENSSSCG00000017488	ENSG00000108342	CSF3
